Index,URL
114,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.joc.2c00850/start/0
115,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c02013/start/0
116,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c05358/start/0
117,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c05366/start/0
118,https://kmt.vander-lingen.nl/data/reaction/doi/10.1002/ejoc.202200058/start/0
119,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c01769/start/0
120,https://kmt.vander-lingen.nl/data/reaction/doi/10.1073/pnas.2208938119/start/0
121,https://kmt.vander-lingen.nl/data/reaction/doi/10.1038/s41467-022-30282-y/start/0
122,https://kmt.vander-lingen.nl/data/reaction/doi/10.1002/anie.202209135/start/0
123,https://kmt.vander-lingen.nl/data/reaction/doi/10.1126/science.abq0516/start/0
124,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c02326/start/0
125,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c07150/start/0
126,https://kmt.vander-lingen.nl/data/reaction/doi/10.26434/chemrxiv-2022-f61pb/start/0
127,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c02586/start/0
128,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.oprd.2c00183/start/0
129,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c08337/start/0
130,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacs.2c08777/start/0
131,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c02960/start/0
132,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acs.orglett.2c03045/start/0
133,https://kmt.vander-lingen.nl/data/search/patent/WO2019113462
134,https://kmt.vander-lingen.nl/data/reaction/doi/10.26434/chemrxiv.13472373.v1/start/0
135,https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/acsomega.1c00772/start/0
136,https://kmt.vander-lingen.nl/data/reaction/doi/10.1039/D1RA06912H/start/0
137,https://kmt.vander-lingen.nl/data/search/patent/US20160122356
138,https://kmt.vander-lingen.nl/data/reaction/doi/10.1002/cpz1.303/start/0
139,https://kmt.vander-lingen.nl/data/reaction/doi/10.1016/j.tetlet.2021.153590/start/0
140,https://kmt.vander-lingen.nl/data/reaction/doi/10.1126/science.abl4784/start/0
141,https://kmt.vander-lingen.nl/data/reaction/doi/10.26434/chemrxiv-2022-hmdd4/start/0
